>gb:GU182141|Organism:Influenza A virus (A/chicken/Hunan/3/2007(H5N1))|Strain Name:A/chicken/Hunan/3/2007|Segment:3|Subtype:H5N1|Host:Chicken
>gb:CY181034|Organism:Influenza A virus (A/duck/Wisconsin/1179/1978(H3N2))|Strain Name:A/duck/Wisconsin/1179/1978|Segment:3|Subtype:H3N2|Host:Duck
>gb:CY180104|Organism:Influenza A virus (A/green-winged teal/Wisconsin/561/1979(H11N9))|Strain Name:A/green-winged teal/Wisconsin/561/1979|Segment:3|Subtype:H11N9|Host:Green-Winged Teal
>gb:KX977871|Organism:Influenza A virus (A/mallard duck/Netherlands/17/2011(H3N8))|Strain Name:A/mallard duck/Netherlands/17/2011|Segment:5|Subtype:H3N8|Host:Mallard
>gb:KX979005|Organism:Influenza A virus (A/mallard duck/Netherlands/17/2011(H3N8))|Strain Name:A/mallard duck/Netherlands/17/2011|Segment:1|Subtype:H3N8|Host:Mallard
>gb:KX978623|Organism:Influenza A virus (A/mallard duck/Netherlands/17/2011(H3N8))|Strain Name:A/mallard duck/Netherlands/17/2011|Segment:3|Subtype:H3N8|Host:Mallard
>gb:EU980486|Organism:Influenza A virus (A/mallard/MD/790/2002(H5N2))|Strain Name:A/mallard/MD/790/2002|Segment:1|Subtype:H5N2|Host:Mallard
>gb:CY132362|Organism:Influenza A virus (A/mallard/Ohio/11OS2096/2011(H4N8))|Strain Name:A/mallard/Ohio/11OS2096/2011|Segment:3|Subtype:H4N8|Host:Mallard
>gb:CY180665|Organism:Influenza A virus (A/mallard/Wisconsin/426/1979(H8N4))|Strain Name:A/mallard/Wisconsin/426/1979|Segment:3|Subtype:H8N4|Host:Mallard
>gb:HM050398|Organism:Influenza A virus (A/Muscovy duck/Fujian/FZ01/2008(H6N6))|Strain Name:A/Muscovy duck/Fujian/FZ01/2008|Segment:3|Subtype:H6N6|Host:Muscovy Duck
>gb:CY101131|Organism:Influenza A virus (A/ruddy turnstone/New Jersey/260/1990(H3N6))|Strain Name:A/ruddy turnstone/New Jersey/260/1990|Segment:3|Subtype:H3N6|Host:Ruddy Turnstone
