sample_label,Wildlife Management Unit,Pond,Sample Site (A-E),Use Level,Date ,Time,Sample Type,Filtered?
S_10.2_A,Sacramento National Wildlife Refuge,10.2,A,High,8132021,1147,Water,Y
S_10.2_B,Sacramento National Wildlife Refuge,10.2,B,High,8132021,1232,Water,Y
S_10.2_C,Sacramento National Wildlife Refuge,10.2,C,High,8132021,1208,Water,Y
S_10.2_D,Sacramento National Wildlife Refuge,10.2,D,High,8132021,1249,Water,Y
S_10.2_E,Sacramento National Wildlife Refuge,10.2,E,High,8132021,1305,Water,Y
S_10.2_SW,Sacramento National Wildlife Refuge,10.2,,High,8132021,,Water,N
S_4_A,Sacramento National Wildlife Refuge,4,A,High,8132021,1401,Water,Y
S_4_B,Sacramento National Wildlife Refuge,4,B,High,8132021,1420,Water,Y
S_4_C,Sacramento National Wildlife Refuge,4,C,High,8132021,1434,Water,Y
S_4_D,Sacramento National Wildlife Refuge,4,D,High,8132021,1450,Water,Y
S_4_E,Sacramento National Wildlife Refuge,4,E,High,8132021,1458,Water,Y
S_4_SW,Sacramento National Wildlife Refuge,4,,High,8132021,,Water,N
S_16.2_A,Sacramento National Wildlife Refuge,16.2,A,Low,8202021,1057,Water,Y
S_16.2_B,Sacramento National Wildlife Refuge,16.2,B,Low,8202021,1110,Water,Y
S_16.2_C,Sacramento National Wildlife Refuge,16.2,C,Low,8202021,1126,Water,Y
S_16.2_D,Sacramento National Wildlife Refuge,16.2,D,Low,8202021,1139,Water,Y
S_16.2_E,Sacramento National Wildlife Refuge,16.2,E,Low,8202021,1148,Water,Y
S_16.2_SW,Sacramento National Wildlife Refuge,16.2,,Low,8202021,,Water,N
D_20.2_A,Delevan National Wildlife Refuge,20.2,A,High,8102021,836,Water,Y
D_20.2_B,Delevan National Wildlife Refuge,20.2,B,High,8102021,905,Water,Y
D_20.2_C,Delevan National Wildlife Refuge,20.2,C,High,8102021,929,Water,Y
D_20.2_D,Delevan National Wildlife Refuge,20.2,D,High,8102021,956,Water,Y
D_20.2_E,Delevan National Wildlife Refuge,20.2,E,High,8102021,1030,Water,Y
D_20.2_SW,Delevan National Wildlife Refuge,20.2,,High,8102021,,Water,N
D_44.2_A,Delevan National Wildlife Refuge,44.2,A,High,8132021,919,Water,Y
D_44.2_B,Delevan National Wildlife Refuge,44.2,B,High,8132021,935,Water,Y
D_44.2_C,Delevan National Wildlife Refuge,44.2,C,High,8132021,1004,Water,Y
D_44.2_D,Delevan National Wildlife Refuge,44.2,D,High,8132021,1031,Water,Y
D_44.2_E,Delevan National Wildlife Refuge,44.2,E,High,8132021,1049,Water,Y
D_44.2_SW,Delevan National Wildlife Refuge,44.2,,High,8132021,,Water,N
D_6_A,Delevan National Wildlife Refuge,6,A,High,8182021,917,Water,Y
D_6_B,Delevan National Wildlife Refuge,6,B,High,8182021,949,Water,Y
D_6_C,Delevan National Wildlife Refuge,6,C,High,8182021,1013,Water,Y
D_6_D,Delevan National Wildlife Refuge,6,D,High,8182021,1038,Water,Y
D_6_E,Delevan National Wildlife Refuge,6,E,High,8182021,1053,Water,Y
D_6_SW,Delevan National Wildlife Refuge,6,,High,8182021,,Water,N
D_27.5_A,Delevan National Wildlife Refuge,27.5,A,Low,8182021,1117,Water,Y
D_27.5_B,Delevan National Wildlife Refuge,27.5,B,Low,8182021,1139,Water,Y
D_27.5_C,Delevan National Wildlife Refuge,27.5,C,Low,8182021,1202,Water,Y
D_27.5_D,Delevan National Wildlife Refuge,27.5,D,Low,8182021,1212,Water,Y
D_27.5_E,Delevan National Wildlife Refuge,27.5,E,Low,8182021,1223,Water,Y
D_27.5_SW,Delevan National Wildlife Refuge,27.5,,Low,8182021,,Water,N
CT_27.1_A,Colusa National Wildlife Refuge,27.1,A,Low,8202021,921,Water,Y
CT_27.1_B,Colusa National Wildlife Refuge,27.1,B,Low,8202021,921,Water,Y
CT_27.1_C,Colusa National Wildlife Refuge,27.1,C,Low,8202021,948,Water,Y
CT_27.1_D,Colusa National Wildlife Refuge,27.1,D,Low,8202021,950,Water,Y
CT_27.1_E,Colusa National Wildlife Refuge,27.1,E,Low,8202021,1014,Water,Y
CT_27.1_SW,Colusa National Wildlife Refuge,27.1,,Low,8202021,,Water,N
CT_24.7_A,Colusa National Wildlife Refuge,24.7,A,Low,8272021,858,Water,Y
CT_24.7_B,Colusa National Wildlife Refuge,24.7,B,Low,8272021,937,Water,Y
CT_24.7_C,Colusa National Wildlife Refuge,24.7,C,Low,8272021,950,Water,Y
CT_24.7_D,Colusa National Wildlife Refuge,24.7,D,Low,8272021,1008,Water,Y
CT_24.7_E,Colusa National Wildlife Refuge,24.7,E,Low,8272021,1000,Water,Y
CT_24.7_SW,Colusa National Wildlife Refuge,24.7,,Low,8272021,,Water,N
CT_24.8_A,Colusa National Wildlife Refuge,24.8,A,Low,8272021,822,Water,Y
CT_24.8_B,Colusa National Wildlife Refuge,24.8,B,Low,8272021,838,Water,Y
CT_24.8_C,Colusa National Wildlife Refuge,24.8,C,Low,8272021,848,Water,Y
CT_24.8_D,Colusa National Wildlife Refuge,24.8,D,Low,8272021,908,Water,Y
CT_24.8_E,Colusa National Wildlife Refuge,24.8,E,Low,8272021,920,Water,Y
CT_24.8_SW,Colusa National Wildlife Refuge,24.8,,Low,8272021,,Water,N
H_204A_A,Howard Slough State Wildlife Unit,204A,A,High,8312021,1020,Water,Y
H_204A_B,Howard Slough State Wildlife Unit,204A,B,High,8312021,1027,Water,Y
H_204A_C,Howard Slough State Wildlife Unit,204A,C,High,8312021,1036,Water,Y
H_204A_D,Howard Slough State Wildlife Unit,204A,D,High,8312021,1047,Water,Y
H_204A_E,Howard Slough State Wildlife Unit,204A,E,High,8312021,1056,Water,Y
H_204A_SW,Howard Slough State Wildlife Unit,204A,,High,8312021,,Water,N
H_204B_A,Howard Slough State Wildlife Unit,204B,A,High,8252021,928,Water,Y
H_204B_B,Howard Slough State Wildlife Unit,204B,B,High,8252021,940,Water,Y
H_204B_C,Howard Slough State Wildlife Unit,204B,C,High,8252021,1000,Water,Y
H_204B_D,Howard Slough State Wildlife Unit,204B,D,High,8252021,1011,Water,Y
H_204B_E,Howard Slough State Wildlife Unit,204B,E,High,8252021,1027,Water,Y
H_204B_SW,Howard Slough State Wildlife Area,204B,,High,8252021,,Water,N
H_204C_A,Howard Slough State Wildlife Area,204C,A,High,8312021,924,Water,Y
H_204C_B,Howard Slough State Wildlife Area,204C,B,High,8312021,933,Water,Y
H_204C_C,Howard Slough State Wildlife Area,204C,C,High,8312021,941,Water,Y
H_204C_D,Howard Slough State Wildlife Area,204C,D,High,8312021,952,Water,Y
H_204C_E,Howard Slough State Wildlife Area,204C,E,High,8312021,1006,Water,Y
H_204C_SW,Howard Slough State Wildlife Area,204C,,High,8312021,,Water,N
