barcode,sample_label
barcode01,D_27.5_E
barcode02,G_36_D
barcode03,D_27.5_C
barcode04,D_6_B
barcode05,D_27.5_B
barcode06,D_27.5_A
barcode07,D_27.5_D
barcode08,D_6_C
barcode09,D_6_A
barcode10,H_204B_A
barcode11,CT_24.7_E
barcode12,H_204C_C
barcode13,H_204C_B
barcode14,CT_24.7_B
barcode15,CT_24.8_A
barcode16,H_204A_C
barcode17,H_204A_E
barcode18,H_204C_D
barcode19,CT_24.7_D
barcode20,H_204A_A
barcode21,CT_24.8_C
barcode22,H_204A_C
barcode23,CT_24.8_E
barcode24,H_204C_SW
barcode25,H_204C_A
barcode26,S_16.2_B
barcode27,CT_24.7_C
barcode28,D_6_D
barcode29,CT_24.8_D
barcode30,CT_27.1_E
barcode31,CT_24.7_A
barcode32,CT_24.8_B
barcode33,CT_24.7_B
barcode34,H_204B_C
barcode35,CT_27.1_A
barcode36,H_204A_D
barcode37,S_4_SW
barcode38,D_6_E
barcode39,H_204B_D
barcode40,S_16.2_D
barcode41,CT_27.1_D
barcode42,S_16.2_D
barcode43,CT_27.1_C
barcode44,S_16.2_E
barcode45,S_16.2_A
barcode46,S_16.2_C
barcode47,CT_27.1_B
barcode48,neg
barcode49,G_54_D
barcode50,G_54_SW
barcode51,G_10_D
barcode52,G_54_A
barcode53,G_54_C
barcode54,G_54_B
barcode55,S_4_C
barcode56,G_65_C
barcode57,D_27.5_A
barcode58,G_10_SW
barcode59,G_18_A
barcode60,G_36_C
barcode61,D_6_E
barcode62,S_10.2_D
barcode63,D_20.2_D
barcode64,D_44.2_B
barcode65,S_4_D
barcode66,S_10.2_C
barcode67,S_10.2_E
barcode68,D_20.2_E
barcode69,D_44.2_D
barcode70,S_4_B
barcode71,S_10.2_A
barcode72,D_27.5_B
barcode73,G_10_E
barcode74,D_6_B
barcode75,G_18_C
barcode76,G_18_B
barcode77,D_27.5_D
barcode78,D_6_C
barcode79,G_36_B
barcode80,D_27.5_C
barcode81,H_204A_B
barcode82,H_204B_A
barcode83,H_204C_E
barcode84,G_36_E
barcode85,G_36_E
barcode86,G_66_C
barcode87,G_36_C
barcode88,G_18_SW
barcode89,G_66_D
barcode90,G_10_C
barcode91,D_44.2_A
barcode92,S_10.2_E
barcode93,S_4_E
barcode94,D_44.2_C
barcode95,S_10.2_B
barcode96,pos
