barcode01,barcode_01_A
barcode02,barcode_02_A
barcode03,barcode_03_A
barcode04,barcode_04_A
barcode05,barcode_05_A
barcode06,barcode_06_A
barcode07,barcode_07_A
barcode08,barcode_08_A
barcode09,barcode_09_A
barcode10,barcode_10_A
barcode11,barcode_11_A
barcode12,barcode_12_A
barcode13,barcode_13_A
barcode14,barcode_14_A
barcode15,barcode_15_A
barcode16,barcode_16_A
barcode17,barcode_17_A
barcode18,barcode_18_A
barcode19,barcode_19_A
barcode20,barcode_20_A
barcode21,barcode_21_A
barcode22,barcode_22_A
barcode23,barcode_23_A
barcode24,barcode_24_A
barcode25,barcode_25_A
barcode26,barcode_26_A
barcode27,barcode_27_A
barcode28,barcode_28_A
barcode29,barcode_29_A
barcode30,barcode_30_A
barcode31,barcode_31_A
barcode32,barcode_32_A
barcode33,barcode_33_A
barcode34,barcode_34_A
barcode35,barcode_35_A
barcode36,barcode_36_A
barcode37,barcode_37_A
barcode38,barcode_38_A
barcode39,barcode_39_A
barcode40,barcode_40_A
barcode41,barcode_41_A
barcode42,barcode_42_A
barcode43,barcode_43_A
barcode44,barcode_44_A
barcode45,barcode_45_A
barcode46,barcode_46_A
barcode47,barcode_47_A
barcode48,barcode_48_A
barcode49,barcode_49_B
barcode50,barcode_50_B
barcode51,barcode_51_B
barcode52,barcode_52_B
barcode53,barcode_53_B
barcode54,barcode_54_B
barcode55,barcode_55_B
barcode56,barcode_56_B
barcode57,barcode_57_B
barcode58,barcode_58_B
barcode59,barcode_59_B
barcode60,barcode_60_B
barcode61,barcode_61_B
barcode62,barcode_62_B
barcode63,barcode_63_B
barcode64,barcode_64_B
barcode65,barcode_65_B
barcode66,barcode_66_B
barcode67,barcode_67_B
barcode68,barcode_68_B
barcode69,barcode_69_B
barcode70,barcode_70_B
barcode71,barcode_71_B
barcode72,barcode_72_B
barcode73,barcode_73_B
barcode74,barcode_74_B
barcode75,barcode_75_B
barcode76,barcode_76_B
barcode77,barcode_77_B
barcode78,barcode_78_B
barcode79,barcode_79_B
barcode80,barcode_80_B
barcode81,barcode_81_B
barcode82,barcode_82_B
barcode83,barcode_83_B
barcode84,barcode_84_B
barcode85,barcode_85_B
barcode86,barcode_86_B
barcode87,barcode_87_B
barcode88,barcode_88_B
barcode89,barcode_89_B
barcode90,barcode_90_B
barcode91,barcode_91_B
barcode92,barcode_92_B
barcode93,barcode_93_B
barcode94,barcode_94_B
barcode95,barcode_95_B
barcode96,barcode_96_B
