>gb:MF613868|Organism:Influenza A virus (A/American black duck/Alberta/307/2016(H4N8))|Strain Name:A/American black duck/Alberta/307/2016|Segment:7|Subtype:H4N8|Host:American Black Duck
>gb:KJ568140|Organism:Influenza A virus (A/American green-winged teal/Ohio/13OS1794/2013(H6N1))|Strain Name:A/American green-winged teal/Ohio/13OS1794/2013|Segment:7|Subtype:H6N1|Host:American Green-Winged Teal
>gb:MF148062|Organism:Influenza A virus (A/barnacle goose/Netherlands/2/2014(H3N6))|Strain Name:A/barnacle goose/Netherlands/2/2014|Segment:8|Subtype:H3N6|Host:Goose
>gb:KX977865|Organism:Influenza A virus (A/bewicks swan/Netherlands/7/2008(H7N1))|Strain Name:A/bewicks swan/Netherlands/7/2008|Segment:7|Subtype:H7N1|Host:Bewick's Swan
>gb:CY184481|Organism:Influenza A virus (A/black-headed gull/Sweden/74340/2008(H16N3))|Strain Name:A/black-headed gull/Sweden/74340/2008|Segment:7|Subtype:H16N3|Host:Black-Headed Gull
>gb:KY013980|Organism:Influenza A virus (A/blue-winged teal/Louisiana/UGAI15-6204/2015(H7N3))|Strain Name:A/blue-winged teal/Louisiana/UGAI15-6204/2015|Segment:8|Subtype:H7N3|Host:Blue-Winged Teal
>gb:CY094936|Organism:Influenza A virus (A/chestnut teal/Victoria/1/2004(H3N2))|Strain Name:A/chestnut teal/Victoria/1/2004|Segment:7|Subtype:H3N2|Host:Teal
>gb:L37795|Organism:Influenza A virus (A/chicken/Brescia/1902(H7N7))|Strain Name:A/chicken/Brescia/1902|Segment:7|Subtype:H7N7|Host:Chicken
>gb:DQ064391|Organism:Influenza A virus (A/chicken/Guangxi/9/99(H9N2))|Strain Name:A/chicken/Guangxi/9/99|Segment:7|Subtype:H9N2|Host:Chicken
>gb:CY005606|Organism:Influenza A virus (A/chicken/Hong Kong/17/1977(H6N1))|Strain Name:A/chicken/Hong Kong/17/1977|Segment:7|Subtype:H6N1|Host:Chicken
>gb:KX351942|Organism:Influenza A virus (A/chicken/Puebla/CPA-02457-16-CENASA-95294/2016(H7N3))|Strain Name:A/chicken/Puebla/CPA-02457-16-CENASA-95294/2016|Segment:8|Subtype:H7N3|Host:Chicken
>gb:CY130127|Organism:Influenza A virus (A/duck/Chabarovsk/1610/1972 (H3N8))|Strain Name:A/duck/Chabarovsk/1610/1972|Segment:7|Subtype:H3N8|Host:Duck
>gb:AM040281|Organism:Influenza A virus (A/duck/France/02166/2002(H5N3))|Strain Name:A/duck/France/02166/2002|Segment:7|Subtype:H5N3|Host:Duck
>gb:KF259293|Organism:Influenza A virus (A/duck/Guangdong/455/2000(H3N9))|Strain Name:A/duck/Guangdong/455/2000|Segment:7|Subtype:H3N9|Host:Duck
>gb:AB262466|Organism:Influenza A virus (A/duck/Hokkaido/9/99(H9N2))|Strain Name:A/duck/Hokkaido/9/99|Segment:7|Subtype:H9N2|Host:Duck
>gb:LC148831|Organism:Influenza A virus (A/duck/Hokkaido/W9/2015(H1N1))|Strain Name:A/duck/Hokkaido/W9/2015|Segment:7|Subtype:H1N1|Host:Mallard
>gb:LC042038|Organism:Influenza A virus (A/duck/Hong Kong/821/1980(H5N3))|Strain Name:A/duck/Hong Kong/821/1980|Segment:7|Subtype:H5N3|Host:Waterfowl
>gb:CY005598|Organism:Influenza A virus (A/duck/Hong Kong/d73/1976(H6N1))|Strain Name:A/duck/Hong Kong/d73/1976|Segment:7|Subtype:H6N1|Host:Duck
