>gb:CY130347|Organism:Influenza A virus (A/glaucous-winged gull/Southeastern Alaska/9JR0822R0/2009(H13N6))|Strain Name:A/glaucous-winged gull/Southeastern Alaska/9JR0822R0/2009|Segment:1|Subtype:H13N6|Host:Gull
>gb:GU052185|Organism:Influenza A virus (A/mallard/Netherlands/02/2000(H10N7))|Strain Name:A/mallard/Netherlands/02/2000|Segment:7|Subtype:H10N7|Host:Mallard
>gb:HM370978|Organism:Influenza A virus (A/turkey/Ontario/FAV114-17/2009(H1N1))|Strain Name:A/turkey/Ontario/FAV114-17/2009|Segment:7|Subtype:H1N1|Host:Turkey
>gb:HM370972|Organism:Influenza A virus (A/turkey/Ontario/FAV114-17/2009(H1N1))|Strain Name:A/turkey/Ontario/FAV114-17/2009|Segment:1|Subtype:H1N1|Host:Turkey
>gb:HM370979|Organism:Influenza A virus (A/turkey/Ontario/FAV114-17/2009(H1N1))|Strain Name:A/turkey/Ontario/FAV114-17/2009|Segment:8|Subtype:H1N1|Host:Turkey
